"meterID","kwh","time","day"
1000,0.117,1,195
1000,0.05,2,195
1000,0.025,3,195
1000,0.025,4,195
1000,0.049,5,195
1000,0.117,6,195
1000,0.042,7,195
1000,0.024,8,195
1000,0.024,9,195
1000,0.048,10,195
1000,0.114,11,195
1000,0.039,12,195
1000,0.024,13,195
1000,0.024,14,195
1000,0.049,15,195
1000,0.113,16,195
1000,0.036,17,195
1000,0.102,18,195
1000,0.114,19,195
1000,0.092,20,195
1000,0.029,21,195
1000,0.03,22,195
1000,0.03,23,195
1000,0.09,24,195
1000,0.111,25,195
1000,0.03,26,195
1000,0.029,27,195
1000,0.029,28,195
1000,0.079,29,195
1000,0.119,30,195
1000,0.03,31,195
1000,0.031,32,195
1000,0.031,33,195
1000,0.079,34,195
1000,0.098,35,195
1000,0.029,36,195
1000,0.028,37,195
1000,0.024,38,195
1000,1.597,39,195
1000,3.453,40,195
1000,1.288,41,195
1000,0.102,42,195
1000,0.789,43,195
1000,0.195,44,195
1000,0.129,45,195
1000,1.133,46,195
1000,0.211,47,195
1000,0.152,48,195
1000,0.063,1,196
1000,0.024,2,196
1000,0.024,3,196
1000,0.082,4,196
1000,0.105,5,196
1000,0.025,6,196
1000,0.025,7,196
1000,0.025,8,196
1000,0.11,9,196
1000,0.053,10,196
1000,0.025,11,196
1000,0.025,12,196
1000,0.041,13,196
1000,0.146,14,196
1000,0.109,15,196
1000,0.826,16,196
1000,0.029,17,196
1000,0.05,18,196
1000,0.12,19,196
1000,0.029,20,196
1000,0.029,21,196
1000,0.029,22,196
1000,0.077,23,196
1000,0.097,24,196
1000,0.03,25,196
1000,0.029,26,196
1000,0.029,27,196
1000,0.106,28,196
1000,0.071,29,196
1000,0.029,30,196
1000,0.099,31,196
1000,0.113,32,196
1000,0.101,33,196
1000,0.029,34,196
1000,0.029,35,196
1000,0.04,36,196
1000,0.828,37,196
1000,2.762,38,196
1000,0.085,39,196
1000,0.024,40,196
1000,0.074,41,196
1000,0.111,42,196
1000,0.442,43,196
1000,0.353,44,196
1000,0.322,45,196
1000,0.21,46,196
1000,0.184,47,196
1000,0.135,48,196